CARNET,NOMBRES,CODPROF,CODEPTO,GENERO,FECHA_INGRESO,TIPO_SOCIO,NRO_SOCIO,ESTADO_CIVIL,TELEFONO,EMAIL,ZONA_RESIDENCIA
5333618,Aristides Puente Ojeda,9,5,M,2018-12-28,JUBILADO,SOC00027,VIUDO,+34 878 99 55 43,morataedgar@example.org,VILLA
3919596,Micaela Castilla Alba,7,4,F,2011-05-31,ACTIVO,SOC00028,DIVORCIADO,+34 841 904 871,carmen44@example.net,CENTRO
3041063,Nereida Martin Serrano,7,8,F,2011-05-31,ACTIVO,SOC00029,CASADO,+34843511572,carbovirgilio@example.com,RURAL
3256906,Teresita Alemany-Ortiz,3,8,M,2013-02-06,ACTIVO,SOC00030,VIUDO,+34 981 913 573,lino57@example.com,SUR
4219535,Renato Perea Pozuelo,5,6,M,2022-08-05,JUBILADO,SOC00031,SOLTERO,+34975 83 29 50,consuelo27@example.net,NORTE
3423144,Florencia Ruiz Talavera,1,6,M,2016-11-03,PASIVO,SOC00032,DIVORCIADO,+34920698470,jacuna@example.org,RURAL
2508153,Eloísa Miralles Colom,4,7,M,2009-10-24,ACTIVO,SOC00033,SOLTERO,+34 824 33 37 97,abadolimpia@example.com,RURAL
5407171,Erasmo Pazos Fiol,6,3,M,2019-02-05,PASIVO,SOC00034,VIUDO,+34845 13 41 84,nydiachaves@example.org,RURAL
2373579,Benita Palmira Zapata Alcalá,8,3,M,2001-02-03,PASIVO,SOC00035,CASADO,+34971432421,josep28@example.com,NORTE
3146235,Ximena Heras Nicolau,2,8,M,2013-01-20,PASIVO,SOC00036,VIUDO,+34927 804 543,maxi12@example.net,NORTE
2001413,Noa Carreras Gonzalez,1,2,M,2020-02-29,PASIVO,SOC00037,DIVORCIADO,+34 924 46 86 08,juana20@example.net,VILLA
3512892,Soledad Peiró Bauzà,7,7,F,2017-12-18,JUBILADO,SOC00038,DIVORCIADO,+34848 670 746,opla@example.net,CENTRO
3782837,Clemente Carvajal Valverde,8,6,M,2021-12-04,ACTIVO,SOC00039,CASADO,+34828 64 00 90,aureliodonaire@example.com,NORTE
3174638,Eva María Prat,1,9,M,2007-07-02,PASIVO,SOC00040,DIVORCIADO,+34845 330 018,pguardiola@example.com,RURAL
2525905,Javiera de Salom,7,7,M,2007-08-01,ACTIVO,SOC00041,SOLTERO,+34 875 11 09 86,abigailpuente@example.com,CENTRO
3214782,Atilio Rios-Torres,8,7,M,2006-10-24,JUBILADO,SOC00042,SOLTERO,+34822 984 890,dimas40@example.net,SUR
5115655,Amado Benito,3,2,M,2004-09-16,PASIVO,SOC00043,DIVORCIADO,+34978485266,carmela69@example.org,SUR
2140046,Albano Pareja Patiño,5,2,M,2019-11-17,JUBILADO,SOC00044,CASADO,+34828850001,rosendo47@example.com,VILLA
2213280,Evaristo Alberto Colomer,7,4,F,2011-08-04,ACTIVO,SOC00045,VIUDO,+34 949 76 54 79,moreno34@example.org,SUR
4748301,Rodolfo Ramón Ortega Mate,4,5,F,2016-08-12,JUBILADO,SOC00046,SOLTERO,+34 987 28 29 43,adorasobrino@example.org,SUR
4749977,Lucho Fortuny Lamas,1,4,M,2009-12-15,ACTIVO,SOC00047,SOLTERO,+34888026754,franciscoegea@example.net,VILLA
4012160,Osvaldo Cerdá,4,2,M,2000-08-20,ACTIVO,SOC00048,CASADO,+34734 39 62 88,cayetanoarranz@example.org,NORTE
3735035,Cristina Pont-Báez,4,5,F,2009-08-07,ACTIVO,SOC00049,VIUDO,+34882 594 350,cristobal86@example.net,NORTE
4481778,Juan José Vicente Sáez Bellido,5,8,M,2017-04-09,JUBILADO,SOC00050,VIUDO,+34 876 97 70 16,vmuniz@example.org,RURAL
4468858,Ismael Quintana Izquierdo,4,6,M,2022-09-05,JUBILADO,SOC00051,VIUDO,+34884284035,dorita57@example.org,VILLA
3756746,Viviana Zaragoza,8,5,M,2009-02-09,JUBILADO,SOC00052,SOLTERO,+34 719254261,fernandofrias@example.net,NORTE
3004145,Cándido Ferrán Rojas,9,5,F,2019-11-22,ACTIVO,SOC00053,CASADO,+34 885 09 81 11,alsinapacifica@example.net,NORTE
5196073,Francisco Valenzuela,2,8,M,2004-03-23,ACTIVO,SOC00054,VIUDO,+34814512625,tponce@example.net,NORTE
4734600,Natividad Tovar Pablo,8,6,F,2004-12-13,PASIVO,SOC00055,SOLTERO,+34823 840 965,quesadatecla@example.com,CENTRO
4467721,Norberto Pelayo-Montserrat,2,4,M,2009-01-18,JUBILADO,SOC00056,CASADO,+34 942424702,cgelabert@example.net,SUR
4644708,Lino del Sanchez,7,5,F,2020-06-05,JUBILADO,SOC00057,SOLTERO,+34976 539 517,marctorralba@example.org,VILLA
5654531,Corona Peñas Valera,7,6,M,2019-07-23,PASIVO,SOC00058,CASADO,+34 976 88 57 24,odalyszaragoza@example.org,RURAL
2108859,Marisa de Segarra,6,4,F,2005-05-03,PASIVO,SOC00059,SOLTERO,+34800 762 104,wmontana@example.org,NORTE
5990635,Rosario Rosell Parra,2,4,M,2002-03-06,ACTIVO,SOC00060,SOLTERO,+34980346377,juan-manuelvalle@example.com,SUR
3077987,Aníbal Primitivo Herrero Sancho,9,5,M,2008-01-27,ACTIVO,SOC00061,VIUDO,+34 978 047 214,earranz@example.org,RURAL
3616260,Roberto Portillo Escobar,9,5,M,2005-12-03,ACTIVO,SOC00062,DIVORCIADO,+34871889345,lalomontana@example.com,CENTRO
3062031,Gerardo Guillén Pardo,8,4,F,2006-07-07,JUBILADO,SOC00063,SOLTERO,+34 803 14 45 55,duranascension@example.org,RURAL
3479403,Bibiana Giménez-Fuentes,9,7,F,2017-01-29,JUBILADO,SOC00064,DIVORCIADO,+34 876 537 615,ntormo@example.net,SUR
4749050,Humberto Bruno Jordán Alvarado,9,3,F,2001-08-26,ACTIVO,SOC00065,DIVORCIADO,+34 975 178 187,eladioocana@example.net,NORTE
4665204,Benigno de Herrera,7,9,M,2010-08-18,JUBILADO,SOC00066,VIUDO,+34644256900,qnoriega@example.com,NORTE
4743521,Heraclio de Alcántara,6,4,M,2018-11-04,ACTIVO,SOC00067,VIUDO,+34 812240996,tiradobarbara@example.net,RURAL
4684520,Soraya Pérez-Hurtado,2,2,M,2006-01-29,PASIVO,SOC00068,CASADO,+34948 918 150,estefaniabelda@example.com,CENTRO
2915347,Albano del Checa,2,1,M,2020-09-24,JUBILADO,SOC00069,DIVORCIADO,+34 922024071,ttur@example.org,RURAL
3412551,Yolanda Peiró-Viñas,3,4,F,2014-12-04,PASIVO,SOC00070,CASADO,+34882323828,asuncion20@example.net,VILLA
3406849,Odalys Mora Vall,9,9,M,2017-04-23,PASIVO,SOC00071,CASADO,+34922 638 405,paleman@example.com,NORTE
2342867,Jose Miguel Sigfrido Velázquez Bonet,7,4,M,2018-12-20,PASIVO,SOC00072,CASADO,+34 901 52 66 26,saturninagoni@example.com,NORTE
5646251,Curro Leiva,4,5,F,2018-05-24,PASIVO,SOC00073,VIUDO,+34948910142,vcampoy@example.org,SUR
2307073,Joel Rincón Ángel,1,4,F,2021-05-30,JUBILADO,SOC00074,DIVORCIADO,+34 820 466 177,bermudezjose-carlos@example.com,SUR
3342738,Arsenio Almeida,3,4,M,2021-12-10,PASIVO,SOC00075,DIVORCIADO,+34 927566482,jvicens@example.org,SUR
5494941,Carmelo Español,1,7,F,2022-10-15,PASIVO,SOC00076,CASADO,+34 926 488 458,victor71@example.net,VILLA
3031495,Reyes Almagro Tapia,6,5,F,2010-07-26,JUBILADO,SOC00077,CASADO,+34718961025,leandro20@example.com,NORTE
4347548,Vanesa del Molina,2,3,M,2008-11-10,PASIVO,SOC00078,DIVORCIADO,+34 980911830,baldomero18@example.com,RURAL
4113378,María Belén Mesa Arana,8,5,F,2003-12-02,PASIVO,SOC00079,DIVORCIADO,+34976 57 43 06,azucenaflores@example.com,RURAL
2438809,Prudencia Salvador Ibañez,6,2,M,2010-11-25,PASIVO,SOC00080,SOLTERO,+34824 806 391,roldanhernandez@example.net,CENTRO
3455289,Mireia Boix Larrea,6,8,F,2015-03-13,PASIVO,SOC00081,DIVORCIADO,+34843759200,diegosancho@example.com,CENTRO
4059659,Edu Aguiló Villa,2,7,F,2011-04-19,PASIVO,SOC00082,SOLTERO,+34976 471 343,andrespuga@example.net,SUR
5477713,Macaria Tenorio Alcolea,4,3,M,2016-05-03,ACTIVO,SOC00083,DIVORCIADO,+34871 39 58 76,lluchvicente@example.com,CENTRO
5746644,Amancio Pedraza Luna,8,2,F,2021-07-31,JUBILADO,SOC00084,VIUDO,+34943989930,gala16@example.com,RURAL
5513217,Bernardita Benavides Julián,9,2,F,2019-11-04,ACTIVO,SOC00085,DIVORCIADO,+34 843128161,nereidaarco@example.com,CENTRO
4634423,Jose Manuel Espinosa Asenjo,4,2,M,2010-03-28,JUBILADO,SOC00086,DIVORCIADO,+34 871 33 62 62,pombosol@example.net,CENTRO
2265353,Chelo Cid Coronado,5,2,M,2019-01-28,PASIVO,SOC00087,CASADO,+34884 690 288,octavio21@example.com,SUR
4506239,Alma Botella,4,2,M,2008-11-21,ACTIVO,SOC00088,DIVORCIADO,+34947 566 981,earoca@example.org,CENTRO
3890018,Bruno Alemany Sastre,1,5,M,2012-09-23,JUBILADO,SOC00089,CASADO,+34 971912579,ocarballo@example.org,CENTRO
2455605,Imelda Rivera Madrigal,9,3,M,2021-07-21,PASIVO,SOC00090,SOLTERO,+34 900 969 801,arturovina@example.org,VILLA
2736810,Martín Manuel Bravo Cabrero,5,6,M,2020-07-15,JUBILADO,SOC00091,CASADO,+34 921 95 76 38,gimenopatricia@example.net,SUR
4105966,Nereida Murcia Segarra,5,9,M,2019-05-12,PASIVO,SOC00092,CASADO,+34824991688,lorenzoandres-felipe@example.net,SUR
5802057,Flavia Miguel-Donoso,5,6,M,2011-10-13,ACTIVO,SOC00093,CASADO,+34841240084,rodenasflavio@example.org,CENTRO
4348453,Clímaco Rueda Aranda,1,2,F,2011-03-06,PASIVO,SOC00094,CASADO,+34 874 454 642,baldomero23@example.com,NORTE
5903632,Albert Alba-Camino,8,3,F,2000-06-14,PASIVO,SOC00095,VIUDO,+34873842321,lupevallejo@example.net,NORTE
3301523,Áurea Arroyo Tormo,4,4,M,2016-12-22,PASIVO,SOC00096,SOLTERO,+34 872 60 43 26,candelasvalenciano@example.com,RURAL
2881985,Domitila Griselda Beltran Guerra,5,3,M,2010-12-01,PASIVO,SOC00097,SOLTERO,+34 978 65 86 71,vcarbo@example.net,CENTRO
2042518,Hector Múgica Cabello,4,7,F,2004-03-12,ACTIVO,SOC00098,VIUDO,+34885 788 434,gabriel64@example.com,NORTE
2270504,Adrián Guzman-Marco,5,5,M,2012-06-21,ACTIVO,SOC00099,CASADO,+34 841279919,xlopez@example.org,NORTE
4990491,Telmo Coello,3,2,F,2012-05-22,PASIVO,SOC00100,CASADO,+34987 32 26 49,jlobo@example.com,CENTRO
4197678,Primitiva Gordillo Pulido,3,8,M,2017-02-25,PASIVO,SOC00101,DIVORCIADO,+34 946571279,gcortes@example.org,VILLA
3591077,Ovidio de Moreno,4,5,F,2017-01-28,JUBILADO,SOC00102,DIVORCIADO,+34965 210 330,domitilaarrieta@example.com,NORTE
4555042,Saturnino Guzmán Martí,3,2,M,2014-07-16,JUBILADO,SOC00103,CASADO,+34721 422 138,liliana49@example.net,NORTE
3598958,Buenaventura Ferrera Doménech,2,7,M,2003-10-11,ACTIVO,SOC00104,CASADO,+34 917 278 247,ayalacaridad@example.net,RURAL
4675973,María Teresa Llabrés Llorens,3,2,F,2015-05-28,PASIVO,SOC00105,VIUDO,+34 920 010 921,yroman@example.net,VILLA
5932175,Victor Manuel Egea Solano,1,5,F,2007-10-01,ACTIVO,SOC00106,DIVORCIADO,+34 886898002,zsolis@example.org,CENTRO
5641632,María Aragón Gonzalo,6,7,M,2000-02-18,PASIVO,SOC00107,SOLTERO,+34980576423,pabloraul@example.net,SUR
4911279,Lino Rueda Pablo,4,5,M,2018-01-20,PASIVO,SOC00108,VIUDO,+34 841 117 926,leonor37@example.org,NORTE
4008563,Tristán Crespi Jordán,4,1,F,2019-07-26,PASIVO,SOC00109,DIVORCIADO,+34 965 591 622,wsalamanca@example.org,CENTRO
3092743,Yéssica Fanny Viña Riera,1,9,M,2013-07-22,JUBILADO,SOC00110,DIVORCIADO,+34 986 35 21 75,gonzalezapolonia@example.org,CENTRO
2866470,Marcelo Alcalde Esparza,5,4,F,2021-12-22,JUBILADO,SOC00111,SOLTERO,+34 941783856,chelo13@example.net,SUR
3984413,María Carmen Rubio Pulido,8,8,F,2003-06-10,JUBILADO,SOC00112,VIUDO,+34 742 95 48 01,valdesreina@example.net,SUR
4115478,Edu Benito Elías,7,5,M,2021-06-22,PASIVO,SOC00113,SOLTERO,+34821 365 185,icarnero@example.org,RURAL
2185577,Eladio Solano Cabrero,4,3,F,2021-11-08,JUBILADO,SOC00114,DIVORCIADO,+34876 83 06 36,lino32@example.net,NORTE
2569256,Baldomero Corbacho Fabregat,4,8,M,2000-10-15,JUBILADO,SOC00115,VIUDO,+34 962 481 530,upallares@example.com,VILLA
5511776,Joaquín Morera Asenjo,6,4,F,2022-01-24,JUBILADO,SOC00116,CASADO,+34 988 549 860,flaviomarcos@example.org,VILLA
2538734,Ramón Rosado Pozo,1,5,M,2006-09-23,ACTIVO,SOC00117,VIUDO,+34945540441,geronimo01@example.net,VILLA
2894270,Gastón Barral Colom,2,4,F,2018-08-16,ACTIVO,SOC00118,DIVORCIADO,+34 877 480 485,tadeo96@example.com,CENTRO
3072914,Carmelo Dimas Pujadas Corominas,9,2,F,2010-12-11,ACTIVO,SOC00119,DIVORCIADO,+34 980 75 69 70,obdulialuis@example.org,NORTE
2484441,Primitiva Candelaria Sans Campos,5,2,M,2022-05-17,ACTIVO,SOC00120,DIVORCIADO,+34871 45 57 08,ubastida@example.com,VILLA
3954731,Obdulia Sebastián,4,5,F,2000-09-09,PASIVO,SOC00121,SOLTERO,+34 985 96 55 93,zroura@example.com,SUR
5827156,Dimas Ortega,6,5,M,2012-09-22,JUBILADO,SOC00122,DIVORCIADO,+34 985 46 15 25,jose-manuel61@example.org,CENTRO
5208186,Bienvenida Sobrino Prada,8,4,M,2014-10-04,JUBILADO,SOC00123,SOLTERO,+34 878 34 82 46,godofredoparedes@example.com,NORTE
2669906,Basilio Núñez Jove,9,7,M,2009-03-01,JUBILADO,SOC00124,DIVORCIADO,+34945 55 21 75,wdaza@example.com,VILLA
4295200,Leonardo del Bellido,7,7,F,2009-03-27,JUBILADO,SOC00125,VIUDO,+34878 224 927,jodarisidora@example.com,NORTE
2482334,Constanza Taboada Bartolomé,3,7,F,2006-07-01,ACTIVO,SOC00126,VIUDO,+34 885 80 20 50,casalsazahara@example.org,NORTE
2371154,Lucas Vilaplana Antón,3,2,M,2020-05-15,PASIVO,SOC00127,CASADO,+34927870293,iperales@example.com,RURAL
4224666,Marino Valcárcel Coca,9,7,M,2016-10-16,JUBILADO,SOC00128,DIVORCIADO,+34920 720 276,olga61@example.net,NORTE
3852586,Clotilde Calvo Leiva,8,5,M,2003-06-13,ACTIVO,SOC00129,VIUDO,+34979503651,agustinlloret@example.net,CENTRO
4619787,Cintia Falcó Esparza,5,9,M,2020-12-19,ACTIVO,SOC00130,SOLTERO,+34744 352 799,yvalverde@example.com,VILLA
5125593,Bonifacio Lara Tejedor,1,5,F,2019-05-31,PASIVO,SOC00131,DIVORCIADO,+34 860 78 55 37,avidal@example.org,VILLA
3796009,Toribio Marín Ocaña,8,7,F,2003-01-27,JUBILADO,SOC00132,CASADO,+34980 59 88 32,zaida80@example.com,CENTRO
4577968,Jose Manuel Toribio Manrique Calzada,1,2,M,2015-08-31,ACTIVO,SOC00133,DIVORCIADO,+34 807853203,giraltsofia@example.net,SUR
2070760,Hortensia Aura Ríos Pascual,6,5,M,2017-08-09,PASIVO,SOC00134,DIVORCIADO,+34971 647 964,pascuala28@example.com,VILLA
2399403,Ambrosio Gómez Folch,7,5,M,2002-02-16,JUBILADO,SOC00135,VIUDO,+34 946868485,silvia61@example.net,SUR
2259396,Adrián Coello Ochoa,8,3,F,2020-06-03,PASIVO,SOC00136,DIVORCIADO,+34878 48 85 43,ggallart@example.com,RURAL
5678200,Brígida Arco Quintanilla,8,8,M,2009-04-01,PASIVO,SOC00137,VIUDO,+34 820 993 102,cordobamartin@example.com,SUR
5451698,Roldán Roselló,8,4,F,2013-12-12,JUBILADO,SOC00138,SOLTERO,+34 615723785,lcastro@example.org,SUR
2807025,Ezequiel Sans Lamas,1,4,M,2011-11-29,JUBILADO,SOC00139,CASADO,+34986094723,granadostono@example.com,CENTRO
5230393,Adoración de Mayo,2,8,F,2015-01-21,PASIVO,SOC00140,SOLTERO,+34 945 38 51 06,riquelmeespiridion@example.com,VILLA
3363118,Tomás Mariscal Esteve,9,5,M,2011-04-12,ACTIVO,SOC00141,VIUDO,+34925 176 807,fermin33@example.com,RURAL
3201096,Carina Amo Benito,5,4,F,2016-02-07,ACTIVO,SOC00142,CASADO,+34847066439,torresraul@example.net,SUR
4808237,Dimas Lorenzo Trillo,9,9,M,2000-06-03,JUBILADO,SOC00143,DIVORCIADO,+34 847 095 073,pablo98@example.com,RURAL
2628599,Anita Lara Feliu,3,2,M,2000-03-07,PASIVO,SOC00144,VIUDO,+34 902 013 555,bsolis@example.org,RURAL
5565735,Angélica Samper Borrás,7,6,F,2014-11-17,ACTIVO,SOC00145,SOLTERO,+34828873195,candelario11@example.com,CENTRO
2545004,Virgilio Gimeno Fábregas,4,5,M,2019-12-02,ACTIVO,SOC00146,CASADO,+34822 941 138,wcalatayud@example.com,CENTRO
5452620,Eligia Rozas,6,5,M,2007-12-09,JUBILADO,SOC00147,DIVORCIADO,+34730 467 286,ureig@example.org,RURAL
3125460,Custodio Bayo Oliver,1,8,M,2009-03-16,PASIVO,SOC00148,CASADO,+34 913467328,guerrapelayo@example.net,SUR
3802787,Joaquina Canet Bastida,4,9,M,2002-04-22,PASIVO,SOC00149,SOLTERO,+34 928 981 838,matias93@example.net,RURAL
2679052,Flor Fuster Alberto,6,4,M,2018-01-22,JUBILADO,SOC00150,CASADO,+34886759974,tristanmadrigal@example.com,VILLA
5971665,José María Velázquez Frutos,6,5,F,2008-06-30,JUBILADO,SOC00151,VIUDO,+34 743 75 20 67,mar97@example.net,NORTE
5978343,Eliseo del Gámez,2,4,F,2005-09-18,PASIVO,SOC00152,DIVORCIADO,+34 877 62 28 81,evelia49@example.org,RURAL
5665496,Sebastián Carro Ramos,4,4,M,2006-01-08,PASIVO,SOC00153,SOLTERO,+34806350805,rosalesaroa@example.com,VILLA
3671866,Isabel Mayol Roma,5,6,F,2011-08-03,JUBILADO,SOC00154,DIVORCIADO,+34 947 477 741,miriam35@example.net,VILLA
3856555,Nazario Agullo Arias,4,2,F,2012-12-15,PASIVO,SOC00155,SOLTERO,+34 827 088 725,gastonramirez@example.org,NORTE
5935462,Lourdes Heras Zurita,8,5,F,2013-08-22,JUBILADO,SOC00156,VIUDO,+34 975 06 74 48,mendezdonato@example.com,NORTE
5229134,Macarena Alvarez Guillén,1,2,M,2011-03-12,ACTIVO,SOC00157,DIVORCIADO,+34849 17 88 98,tgiralt@example.org,NORTE
5182459,Pacífica Priego,3,2,F,2010-06-07,JUBILADO,SOC00158,DIVORCIADO,+34 843 78 73 27,qdomingo@example.net,VILLA
3425041,América Montalbán Zamora,8,5,M,2019-09-10,ACTIVO,SOC00159,CASADO,+34 886 914 610,manuelita78@example.net,VILLA
3359446,Anacleto Villanueva,4,5,F,2015-09-06,PASIVO,SOC00160,VIUDO,+34 838965853,tcarballo@example.com,VILLA
5956409,Soledad Mascaró Ayllón,7,5,M,2007-09-29,PASIVO,SOC00161,DIVORCIADO,+34945750615,coralcases@example.org,VILLA
3219511,Lorenza Montoya Recio,8,2,F,2011-02-25,PASIVO,SOC00162,SOLTERO,+34873111405,hmercader@example.net,VILLA
3460993,Pío Aguado,8,3,F,2013-06-23,JUBILADO,SOC00163,VIUDO,+34986736236,obduliahidalgo@example.com,NORTE
5837842,Carmela Villalobos Vicens,2,8,M,2020-08-06,ACTIVO,SOC00164,DIVORCIADO,+34825293710,hroda@example.org,VILLA
4711410,Sergio Caparrós Manjón,1,7,F,2012-08-07,PASIVO,SOC00165,SOLTERO,+34 708 509 355,wmascaro@example.com,CENTRO
3824799,Noemí Sedano Garriga,8,8,M,2022-06-13,JUBILADO,SOC00166,CASADO,+34873 814 154,qamaya@example.org,RURAL
2513025,Venceslás Gutierrez Ribes,4,1,M,2002-05-29,JUBILADO,SOC00167,DIVORCIADO,+34 971 552 667,croldan@example.com,VILLA
3518518,Maximiliano Roldan Téllez,4,1,M,2008-06-07,ACTIVO,SOC00168,SOLTERO,+34 922 40 05 58,averdugo@example.com,VILLA
3671585,Reyes del Murillo,6,7,M,2001-07-15,JUBILADO,SOC00169,VIUDO,+34885 65 63 56,santamariayaiza@example.com,RURAL
4882513,Haydée Pacífica Noriega Feijoo,5,2,F,2017-03-05,JUBILADO,SOC00170,VIUDO,+34820 400 165,luis-miguel95@example.com,NORTE
3918051,Saturnina Boada-Pombo,6,4,F,2004-01-20,JUBILADO,SOC00171,SOLTERO,+34841 141 100,rcrespo@example.com,CENTRO
4008886,Gala Olivera Berenguer,8,3,F,2015-02-14,PASIVO,SOC00172,CASADO,+34924 411 443,tcardona@example.net,NORTE
2298254,Domingo Vallés Gallardo,7,5,M,2014-10-10,PASIVO,SOC00173,CASADO,+34901 704 603,baronjorge@example.org,CENTRO
3996120,Nidia Roldan Valentín,4,5,M,2017-11-26,JUBILADO,SOC00174,CASADO,+34985882642,almansamaricruz@example.com,NORTE
3886663,Cornelio Piñol Amat,2,1,F,2013-10-10,PASIVO,SOC00175,SOLTERO,+34 884 377 760,tmarino@example.com,CENTRO
2698726,Glauco Barranco Cuervo,3,9,F,2012-03-18,PASIVO,SOC00176,SOLTERO,+34800 20 17 37,oguillen@example.net,VILLA
5326249,Leandra Morata Arregui,3,5,M,2013-12-15,ACTIVO,SOC00177,SOLTERO,+34978969095,antoniovalentin@example.com,RURAL
4048826,Leyre Pedrero Ayuso,8,2,M,2006-05-04,ACTIVO,SOC00178,CASADO,+34888 401 993,emiliosantiago@example.net,SUR
2496528,Buenaventura Mateu Verdú,6,6,F,2003-04-29,JUBILADO,SOC00179,CASADO,+34 847 41 88 36,mmiralles@example.net,SUR
4599654,Delfina Ibañez García,6,2,F,2016-03-10,ACTIVO,SOC00180,VIUDO,+34 980 259 876,albert94@example.org,CENTRO
4910706,Marina Guerrero Menéndez,4,8,F,2020-07-28,ACTIVO,SOC00181,DIVORCIADO,+34 967 08 64 11,amilcar62@example.com,NORTE
2662760,Mario Soler Cadenas,7,1,M,2003-03-26,PASIVO,SOC00182,VIUDO,+34 978939439,wocana@example.net,SUR
2417220,Cirino Bonilla Jurado,3,2,F,2004-03-24,JUBILADO,SOC00183,DIVORCIADO,+34915198792,amarilis23@example.org,CENTRO
4510515,Anunciación Tolosa Font,9,2,F,2012-08-14,ACTIVO,SOC00184,VIUDO,+34 985 30 32 50,vaqueromaria-manuela@example.org,CENTRO
5549744,Gaspar del Vidal,1,8,F,2009-08-26,PASIVO,SOC00185,SOLTERO,+34876971562,ttellez@example.com,SUR
2292500,Felicia Fernandez Malo,1,1,F,2007-09-03,JUBILADO,SOC00186,SOLTERO,+34 968 748 497,soraya46@example.net,RURAL
3738708,Marcelino Reig-Sierra,3,3,M,2010-03-05,ACTIVO,SOC00187,CASADO,+34987 161 223,sosapatricia@example.com,RURAL
4409418,Eusebio Alvarez Burgos,3,2,F,2013-05-15,ACTIVO,SOC00188,CASADO,+34 875 933 134,tpoza@example.org,VILLA
