CUENTA,CARNET,FAPERTURA,TIPO_CUENTA,ESTADO_CUENTA,SALDO_ACTUAL,PLAZO_MESES,TASA_INTERES,FECHA_CIERRE
1-108-53886-7,2508153,2013-12-22,APORTE,INACTIVA,84256.04,6,0.113,
6-100-93771-3,5407171,2021-06-12,CRÉDITO,CERRADA,85092.29,24,0.105,
7-101-99004-3,2373579,2018-01-21,CRÉDITO,INACTIVA,82063.28,36,0.082,
6-103-20272-1,3146235,2010-08-06,AHORRO,ACTIVA,8354.86,24,0.029,
9-106-80455-5,2001413,2012-12-08,APORTE,ACTIVA,57813.94,24,0.116,
3-104-61020-6,3512892,2018-01-14,AHORRO,INACTIVA,98931.66,12,0.098,
3-108-54266-9,3782837,2009-06-03,CRÉDITO,INACTIVA,10354.35,6,0.04,
2-102-87240-7,3174638,2012-02-27,AHORRO,ACTIVA,72598.73,36,0.096,
7-100-27827-8,2525905,2007-06-02,APORTE,INACTIVA,44224.99,12,0.098,
1-105-68946-8,3214782,2007-06-11,APORTE,ACTIVA,78658.26,6,0.043,
5-106-13703-3,5115655,2004-01-01,CRÉDITO,INACTIVA,74162.16,6,0.096,
9-105-77743-9,2140046,2000-05-22,CRÉDITO,CERRADA,21055.97,24,0.05,
9-102-55032-9,2213280,2010-08-28,APORTE,ACTIVA,49805.34,12,0.096,
2-108-58365-4,4748301,2012-03-19,APORTE,CERRADA,65958.29,36,0.042,
6-101-45618-9,4749977,2002-07-07,APORTE,CERRADA,80624.97,0,0.085,
4-103-52212-5,4012160,2008-11-27,AHORRO,INACTIVA,47871.45,36,0.053,
7-100-75607-2,3735035,2012-06-19,APORTE,INACTIVA,51712.7,6,0.073,
4-108-36148-1,4481778,2000-11-13,AHORRO,CERRADA,38356.48,24,0.085,
4-104-84006-4,4468858,2007-02-24,CRÉDITO,INACTIVA,16072.84,36,0.042,
2-109-51553-2,3756746,2010-03-15,AHORRO,CERRADA,5373.02,6,0.026,
6-108-80475-3,3004145,2017-03-28,CRÉDITO,CERRADA,78645.74,12,0.014,
9-102-73433-8,5196073,2022-12-15,AHORRO,INACTIVA,82302.63,24,0.103,
7-100-43666-8,4734600,2004-01-23,APORTE,CERRADA,71163.0,12,0.046,
6-106-39379-9,4467721,2011-06-09,APORTE,INACTIVA,92518.19,0,0.015,
3-109-93202-1,4644708,2017-11-16,CRÉDITO,INACTIVA,13713.06,12,0.056,
8-105-86627-2,5654531,2021-02-11,AHORRO,ACTIVA,15752.76,36,0.09,
1-105-70392-6,2108859,2003-04-08,CRÉDITO,ACTIVA,9308.52,36,0.059,
7-105-57011-4,5990635,2008-12-25,AHORRO,CERRADA,60802.97,24,0.026,
8-105-35227-3,3077987,2015-01-08,CRÉDITO,ACTIVA,60776.11,24,0.079,
7-100-64359-7,3616260,2016-07-30,AHORRO,CERRADA,39370.47,6,0.077,
9-104-32921-9,3062031,2002-01-29,AHORRO,ACTIVA,36498.02,0,0.012,
7-105-19064-5,3479403,2020-03-29,AHORRO,INACTIVA,1279.04,36,0.023,
2-104-75906-6,4749050,2003-02-19,CRÉDITO,CERRADA,87030.84,6,0.042,
1-106-16763-7,4665204,2006-03-27,CRÉDITO,CERRADA,30405.57,36,0.09,
5-101-71020-6,4743521,2001-12-03,APORTE,ACTIVA,62474.94,36,0.055,
4-107-44853-8,4684520,2022-12-18,CRÉDITO,INACTIVA,22481.84,6,0.091,
6-103-69701-9,2915347,2021-02-11,CRÉDITO,INACTIVA,10903.75,6,0.057,
5-105-16392-3,3412551,2011-09-23,APORTE,ACTIVA,7709.85,0,0.103,
2-100-66114-8,3406849,2007-11-22,APORTE,INACTIVA,64920.42,6,0.105,
3-107-80137-1,2342867,2000-01-30,AHORRO,CERRADA,64080.84,6,0.01,
8-108-28553-6,5646251,2000-09-25,APORTE,CERRADA,26699.07,6,0.03,
6-103-88340-1,2307073,2000-01-27,AHORRO,ACTIVA,6944.13,6,0.059,
8-108-88825-5,3342738,2011-06-18,AHORRO,CERRADA,53468.28,6,0.057,
1-105-60659-4,5494941,2008-01-24,AHORRO,CERRADA,37868.85,0,0.04,
2-104-47367-3,3031495,2015-05-23,APORTE,INACTIVA,91110.25,0,0.024,
7-105-65702-1,4347548,2023-01-22,APORTE,ACTIVA,59296.83,24,0.05,
1-107-98312-3,4113378,2004-06-14,CRÉDITO,ACTIVA,19266.28,12,0.118,
4-100-45317-9,2438809,2005-06-22,APORTE,CERRADA,18042.56,0,0.011,
3-108-35435-5,3455289,2013-08-05,AHORRO,INACTIVA,84188.59,6,0.068,
8-107-39378-5,4059659,2000-04-10,AHORRO,INACTIVA,17188.05,24,0.051,
9-101-23530-8,5477713,2023-02-13,AHORRO,ACTIVA,10019.34,12,0.048,
9-108-46608-4,5746644,2022-06-17,AHORRO,CERRADA,63528.59,0,0.025,
9-101-93294-7,5513217,2016-01-03,APORTE,INACTIVA,15876.55,24,0.092,
7-107-24542-1,4634423,2000-07-29,APORTE,ACTIVA,43651.01,6,0.117,
7-106-77802-6,2265353,2000-03-13,CRÉDITO,CERRADA,25394.71,24,0.106,
3-107-27637-4,4506239,2009-04-04,AHORRO,INACTIVA,14228.46,6,0.094,
4-103-14922-4,3890018,2001-02-07,AHORRO,ACTIVA,52170.42,0,0.073,
4-101-62907-1,2455605,2004-04-08,AHORRO,CERRADA,62477.83,12,0.118,
1-106-96011-6,2736810,2014-09-10,APORTE,ACTIVA,60127.23,6,0.107,
9-100-15484-4,4105966,2001-09-20,CRÉDITO,INACTIVA,46659.61,6,0.032,
7-104-34369-5,5802057,2017-03-12,CRÉDITO,ACTIVA,18326.55,12,0.073,
2-104-97942-6,4348453,2004-04-29,AHORRO,CERRADA,13018.14,12,0.047,
4-108-13403-6,5903632,2004-06-16,AHORRO,CERRADA,41326.83,6,0.053,
3-107-39482-7,3301523,2000-10-21,APORTE,INACTIVA,81017.89,0,0.072,
4-108-96824-7,2881985,2006-02-02,APORTE,ACTIVA,77530.15,12,0.101,
7-108-34767-7,2042518,2021-02-15,CRÉDITO,ACTIVA,19667.81,36,0.043,
2-107-15582-5,2270504,2020-10-20,AHORRO,CERRADA,39392.75,36,0.063,
3-107-24003-3,4990491,2004-12-26,CRÉDITO,ACTIVA,24515.81,24,0.024,
2-107-56253-9,4197678,2004-11-02,CRÉDITO,INACTIVA,64241.54,24,0.068,
1-107-78271-6,3591077,2006-03-08,AHORRO,ACTIVA,90901.87,24,0.022,
5-105-37967-7,4555042,2010-04-20,AHORRO,INACTIVA,36191.27,36,0.1,
1-101-76652-2,3598958,2005-01-29,CRÉDITO,CERRADA,30434.59,0,0.011,
6-101-97653-4,4675973,2003-08-11,AHORRO,INACTIVA,4823.19,36,0.094,
7-102-64891-3,5932175,2003-03-10,APORTE,CERRADA,63894.64,6,0.042,
8-102-10696-3,5641632,2017-09-29,CRÉDITO,ACTIVA,71361.85,24,0.03,
2-105-14232-2,4911279,2006-03-23,APORTE,INACTIVA,50150.79,12,0.048,
3-103-69979-7,4008563,2005-07-07,APORTE,ACTIVA,13899.1,36,0.023,
4-106-17815-1,3092743,2001-05-09,APORTE,INACTIVA,78298.49,12,0.017,
3-101-70468-2,2866470,2016-07-03,APORTE,CERRADA,57054.67,0,0.049,
3-100-57046-8,3984413,2000-08-24,CRÉDITO,CERRADA,15002.32,24,0.046,
4-103-40819-7,4115478,2015-01-30,CRÉDITO,INACTIVA,76785.39,12,0.092,
6-102-21718-1,2185577,2003-02-19,CRÉDITO,INACTIVA,41011.73,12,0.052,
5-105-97707-7,2569256,2016-04-22,CRÉDITO,ACTIVA,13194.89,24,0.109,
6-103-17979-1,5511776,2018-05-24,AHORRO,ACTIVA,73727.13,12,0.055,
9-101-24460-4,2538734,2014-04-14,APORTE,CERRADA,49803.0,0,0.113,
5-103-26398-9,2894270,2007-06-13,CRÉDITO,INACTIVA,78186.14,6,0.07,
1-109-93992-9,3072914,2022-12-16,AHORRO,CERRADA,43794.98,0,0.023,
5-106-82768-6,2484441,2004-06-15,APORTE,CERRADA,89563.88,6,0.108,
6-102-64639-1,3954731,2003-03-11,AHORRO,INACTIVA,99132.21,36,0.074,
5-105-51087-1,5827156,2022-03-17,APORTE,ACTIVA,91105.05,12,0.119,
6-108-10379-5,5208186,2017-03-26,AHORRO,INACTIVA,53606.39,12,0.102,
2-106-34073-6,2669906,2011-03-10,CRÉDITO,CERRADA,38077.96,12,0.051,
8-101-88162-9,4295200,2020-12-24,AHORRO,CERRADA,30488.01,36,0.039,
4-106-93218-2,2482334,2003-01-03,AHORRO,CERRADA,24058.69,36,0.03,
4-103-56958-7,2371154,2014-05-29,APORTE,CERRADA,65902.45,0,0.079,
8-104-95653-9,4224666,2001-12-14,CRÉDITO,INACTIVA,5696.34,0,0.109,
9-102-60762-1,3852586,2014-07-28,APORTE,CERRADA,96675.49,24,0.109,
5-100-91970-3,4619787,2004-11-19,CRÉDITO,CERRADA,11475.74,36,0.05,
4-105-34117-2,5125593,2023-12-24,APORTE,ACTIVA,3990.43,36,0.014,
3-109-23290-5,3796009,2021-11-24,CRÉDITO,ACTIVA,18046.8,24,0.08,
2-101-57331-1,4577968,2000-10-28,AHORRO,CERRADA,875.82,0,0.034,
5-105-27051-5,2070760,2002-09-17,APORTE,INACTIVA,23273.15,12,0.097,
7-101-91405-5,2399403,2016-03-20,AHORRO,ACTIVA,28444.94,24,0.095,
9-108-25647-9,2259396,2004-11-13,CRÉDITO,INACTIVA,9681.47,0,0.019,
2-105-47604-5,5678200,2012-02-13,CRÉDITO,CERRADA,90795.56,0,0.026,
8-103-10701-2,5451698,2008-07-07,APORTE,ACTIVA,41904.59,0,0.094,
2-109-23228-8,2807025,2000-08-13,APORTE,CERRADA,53092.57,36,0.073,
7-105-98354-3,5230393,2009-11-04,APORTE,CERRADA,70953.88,6,0.082,
3-106-10045-7,3363118,2023-10-19,AHORRO,INACTIVA,17983.16,6,0.117,
4-103-10560-7,3201096,2005-03-18,AHORRO,ACTIVA,39370.64,24,0.032,
3-101-32891-9,4808237,2015-01-20,AHORRO,CERRADA,46214.93,0,0.109,
5-106-32039-7,2628599,2015-07-18,CRÉDITO,INACTIVA,14033.79,6,0.011,
5-101-13123-2,5565735,2014-09-01,APORTE,CERRADA,87462.03,36,0.041,
7-104-84504-1,2545004,2016-05-19,AHORRO,INACTIVA,78315.33,6,0.092,
9-103-50675-5,5452620,2012-11-09,AHORRO,INACTIVA,58214.57,36,0.029,
9-105-12970-3,3125460,2006-01-27,CRÉDITO,INACTIVA,729.75,0,0.096,
5-104-36209-7,3802787,2010-07-16,APORTE,INACTIVA,23572.24,36,0.067,
4-107-15893-7,2679052,2011-08-02,AHORRO,CERRADA,73360.25,36,0.095,
2-102-32302-1,5971665,2003-11-04,APORTE,ACTIVA,65686.21,0,0.069,
9-103-18222-8,5978343,2023-06-20,AHORRO,INACTIVA,59299.55,24,0.114,
4-106-84625-7,5665496,2003-08-08,CRÉDITO,CERRADA,26017.76,6,0.063,
9-105-19778-4,3671866,2014-09-03,APORTE,CERRADA,60156.51,24,0.064,
2-107-15600-9,3856555,2002-06-12,AHORRO,ACTIVA,54086.9,12,0.055,
5-100-37293-1,5935462,2017-05-20,AHORRO,CERRADA,14555.05,6,0.075,
3-108-22925-1,5229134,2001-09-24,APORTE,INACTIVA,34624.62,12,0.027,
7-107-90643-7,5182459,2008-01-16,CRÉDITO,INACTIVA,79528.79,12,0.089,
6-102-94269-7,3425041,2015-05-08,APORTE,INACTIVA,68851.28,24,0.012,
7-101-21443-1,3359446,2010-02-19,APORTE,ACTIVA,88753.72,6,0.096,
4-102-96050-3,5956409,2017-03-11,AHORRO,CERRADA,61754.48,0,0.013,
5-105-76860-7,3219511,2016-01-06,AHORRO,CERRADA,48957.63,6,0.105,
5-104-63867-3,3460993,2018-12-17,AHORRO,CERRADA,89170.48,36,0.055,
9-108-96614-9,5837842,2011-05-30,CRÉDITO,CERRADA,3408.68,24,0.094,
2-100-86067-3,4711410,2021-02-23,AHORRO,CERRADA,59738.96,36,0.092,
9-109-97013-2,3824799,2023-06-27,APORTE,ACTIVA,1553.81,24,0.088,
8-103-92171-9,2513025,2021-03-11,APORTE,ACTIVA,57236.5,12,0.103,
8-100-58714-5,3518518,2015-02-24,APORTE,INACTIVA,1583.38,36,0.02,
8-105-94920-5,3671585,2006-09-04,APORTE,INACTIVA,51764.92,24,0.108,
9-109-86873-6,4882513,2023-08-09,CRÉDITO,ACTIVA,57505.88,12,0.112,
4-102-15200-6,3918051,2008-06-18,CRÉDITO,CERRADA,79244.51,36,0.099,
1-109-22691-8,4008886,2017-01-10,AHORRO,CERRADA,23956.08,24,0.07,
6-106-96939-3,2298254,2009-12-15,AHORRO,CERRADA,65878.32,12,0.065,
2-109-19546-4,3996120,2002-03-03,AHORRO,INACTIVA,91900.53,0,0.023,
7-102-76385-2,3886663,2008-04-23,APORTE,CERRADA,98748.43,0,0.022,
8-108-40373-9,2698726,2009-02-17,CRÉDITO,CERRADA,14249.5,24,0.066,
8-105-51327-7,5326249,2010-02-19,AHORRO,CERRADA,4042.02,6,0.046,
5-105-98616-8,4048826,2008-10-08,CRÉDITO,CERRADA,99222.06,6,0.036,
3-103-23384-1,2496528,2002-08-18,AHORRO,CERRADA,97180.07,12,0.102,
9-102-58367-1,4599654,2020-10-14,APORTE,ACTIVA,41373.67,6,0.017,
3-102-95071-3,4910706,2016-06-25,CRÉDITO,CERRADA,37010.37,0,0.092,
7-102-83159-4,2662760,2013-09-20,AHORRO,ACTIVA,37815.21,12,0.015,
9-102-73688-9,2417220,2013-11-24,CRÉDITO,CERRADA,22537.29,6,0.036,
1-107-30416-5,4510515,2000-06-02,APORTE,INACTIVA,25764.24,12,0.016,
6-108-93684-8,5549744,2009-03-26,CRÉDITO,INACTIVA,26433.04,0,0.051,
4-101-65951-8,2292500,2022-08-08,AHORRO,CERRADA,12728.34,0,0.105,
7-105-16197-7,3738708,2006-09-10,CRÉDITO,INACTIVA,79800.92,36,0.074,
7-101-52901-8,4409418,2012-08-23,AHORRO,CERRADA,52257.91,12,0.091,
8-100-24634-1,5636919,2016-02-18,CRÉDITO,ACTIVA,32075.88,36,0.096,
6-105-51984-4,2427697,2001-04-19,AHORRO,ACTIVA,33413.78,36,0.09,
9-108-72403-6,3433025,2018-09-26,AHORRO,INACTIVA,48784.4,36,0.075,
4-100-34202-3,5675930,2015-10-11,APORTE,CERRADA,61755.4,36,0.102,
8-103-98758-8,5908695,2022-01-04,CRÉDITO,ACTIVA,81000.76,0,0.061,
7-100-55637-3,4521737,2011-12-25,CRÉDITO,CERRADA,37483.2,24,0.059,
5-105-81354-5,4016483,2015-02-08,CRÉDITO,ACTIVA,48957.27,36,0.087,
2-105-36978-1,4892938,2023-10-10,APORTE,INACTIVA,94752.04,0,0.072,
2-108-26847-9,5575019,2003-08-28,CRÉDITO,CERRADA,90057.53,36,0.012,
1-109-73709-9,2892781,2000-11-21,CRÉDITO,CERRADA,25674.54,6,0.057,
7-106-75477-2,3573800,2017-12-03,APORTE,ACTIVA,7941.28,0,0.086,
4-102-55755-4,3712390,2006-10-04,APORTE,ACTIVA,38411.95,12,0.069,
6-106-74002-2,2384350,2001-03-24,APORTE,INACTIVA,30860.83,0,0.055,
7-101-57064-9,4507636,2011-02-22,AHORRO,INACTIVA,46918.03,6,0.066,
7-101-35684-5,3344582,2002-05-27,APORTE,INACTIVA,2872.35,0,0.02,
2-101-58259-3,4432365,2004-12-04,AHORRO,INACTIVA,81362.9,0,0.112,
4-101-18571-7,3778774,2000-02-10,APORTE,INACTIVA,78730.91,36,0.036,
8-106-68638-1,2426092,2011-01-09,APORTE,CERRADA,12470.65,24,0.083,
7-100-22310-5,3841169,2004-10-12,CRÉDITO,ACTIVA,85840.88,0,0.045,
9-106-59338-6,2014227,2012-11-29,CRÉDITO,CERRADA,40465.76,6,0.018,
6-105-18271-6,5485279,2000-05-23,AHORRO,CERRADA,23672.91,36,0.06,
3-101-13534-8,2792993,2020-08-07,APORTE,INACTIVA,64295.49,24,0.043,
7-108-52120-1,5532798,2003-12-31,APORTE,ACTIVA,3054.12,6,0.114,
4-104-51428-5,3518489,2003-01-03,AHORRO,INACTIVA,60398.02,36,0.119,
3-105-89294-8,4434239,2022-05-21,APORTE,CERRADA,24514.45,12,0.077,
6-103-80043-1,4543791,2018-04-05,APORTE,INACTIVA,60159.71,24,0.038,
8-102-37261-6,5541676,2007-04-14,APORTE,ACTIVA,91486.23,36,0.061,
4-107-83153-4,3551138,2023-03-12,APORTE,INACTIVA,70900.21,36,0.113,
5-102-35806-8,2632469,2018-02-11,APORTE,CERRADA,40996.05,36,0.042,
8-105-72394-8,3880086,2018-09-21,CRÉDITO,ACTIVA,65739.34,12,0.054,
8-104-67194-5,2361663,2020-08-31,CRÉDITO,CERRADA,771.54,24,0.078,
2-106-71077-2,3229965,2005-10-22,APORTE,INACTIVA,77273.32,24,0.11,
6-106-84216-9,2482023,2021-11-13,AHORRO,INACTIVA,28249.13,36,0.089,
3-103-17518-3,2329641,2005-12-31,AHORRO,ACTIVA,27133.4,24,0.029,
7-108-68215-5,5809507,2009-06-29,CRÉDITO,INACTIVA,64267.37,36,0.086,
4-104-32933-9,4936929,2018-07-01,CRÉDITO,INACTIVA,48833.6,0,0.05,
4-106-20865-7,4994234,2009-10-03,AHORRO,INACTIVA,52654.83,12,0.012,
9-101-58267-8,2166464,2006-02-21,CRÉDITO,INACTIVA,56088.38,36,0.068,
3-102-55126-3,4940560,2018-09-05,APORTE,CERRADA,56579.29,36,0.093,
3-104-64519-3,3833793,2017-05-25,CRÉDITO,CERRADA,34189.3,0,0.119,
3-107-45157-4,3985895,2001-08-13,CRÉDITO,ACTIVA,63528.99,6,0.05,
4-104-35070-1,4339641,2010-12-31,AHORRO,ACTIVA,23031.29,6,0.108,
5-103-90099-8,5860524,2006-01-06,CRÉDITO,CERRADA,17684.48,6,0.037,
1-102-30769-6,5426737,2010-02-01,APORTE,CERRADA,54164.59,12,0.078,
3-105-15179-2,2339151,2003-04-11,APORTE,INACTIVA,66800.67,24,0.117,
4-100-55538-4,4849091,2004-02-14,APORTE,INACTIVA,38920.45,12,0.02,
2-102-70533-7,5161363,2020-06-01,CRÉDITO,CERRADA,30638.48,12,0.102,
3-101-82910-9,4823800,2011-04-20,CRÉDITO,CERRADA,12821.02,6,0.051,
1-109-96123-4,2538972,2009-09-27,AHORRO,ACTIVA,98152.87,24,0.116,
2-106-30417-4,3712053,2023-06-25,CRÉDITO,INACTIVA,68883.43,24,0.021,
5-102-69056-3,3340683,2007-02-08,AHORRO,INACTIVA,95172.58,24,0.028,
6-106-12955-8,2574492,2015-08-22,APORTE,CERRADA,61939.95,0,0.095,
5-106-66606-3,3169950,2016-10-20,APORTE,CERRADA,24977.54,24,0.106,
3-103-39992-5,3461539,2015-11-11,AHORRO,ACTIVA,30246.7,24,0.022,
8-108-29170-4,3462833,2011-09-12,CRÉDITO,ACTIVA,54245.47,6,0.021,
3-108-32107-4,2473393,2003-09-03,CRÉDITO,INACTIVA,64459.25,12,0.094,
8-101-22379-5,3416402,2014-09-03,CRÉDITO,INACTIVA,64832.83,36,0.024,
3-100-75384-7,2372504,2002-03-09,APORTE,INACTIVA,76563.05,36,0.011,
4-108-93585-4,4585310,2021-10-02,AHORRO,CERRADA,54328.33,24,0.099,
7-101-45160-5,5399708,2009-10-12,AHORRO,ACTIVA,52956.02,6,0.01,
9-104-44866-4,4074117,2021-12-13,CRÉDITO,ACTIVA,76904.6,0,0.034,
3-109-36779-4,5108278,2012-03-02,AHORRO,INACTIVA,11559.61,6,0.101,
1-101-63746-9,4579200,2011-02-10,CRÉDITO,ACTIVA,72203.39,6,0.025,
5-107-19306-3,2984474,2022-05-17,CRÉDITO,ACTIVA,61906.74,0,0.011,
8-105-76159-2,3876180,2009-03-19,CRÉDITO,CERRADA,16799.16,12,0.085,
7-108-50648-2,4790140,2020-10-15,AHORRO,CERRADA,46190.15,0,0.079,
8-100-28536-5,4013425,2023-05-15,AHORRO,CERRADA,89344.53,36,0.115,
6-102-67809-8,2339265,2003-06-09,APORTE,INACTIVA,50991.5,0,0.082,
5-101-74888-8,4979202,2007-05-27,APORTE,INACTIVA,44588.94,6,0.078,
6-105-26308-4,2968999,2019-12-03,AHORRO,ACTIVA,59371.7,0,0.107,
6-104-45048-9,5017838,2014-01-28,APORTE,INACTIVA,11115.93,24,0.108,
2-101-11204-6,5635405,2017-05-07,APORTE,INACTIVA,81067.57,6,0.033,
6-107-68646-7,4710569,2009-10-19,APORTE,CERRADA,89368.1,0,0.033,
3-102-41493-3,2905080,2002-05-03,APORTE,ACTIVA,81193.64,24,0.054,
6-103-69390-3,3455781,2020-01-04,AHORRO,ACTIVA,78408.37,6,0.033,
9-103-66139-6,4554711,2006-03-30,AHORRO,CERRADA,53237.52,36,0.049,
7-102-43865-6,5343224,2020-05-14,APORTE,CERRADA,53788.6,12,0.037,
7-108-66730-1,4460826,2023-12-24,APORTE,INACTIVA,16312.9,0,0.016,
4-107-39551-4,2671635,2017-09-21,APORTE,CERRADA,59817.31,0,0.074,
3-109-55074-8,3079346,2007-07-01,CRÉDITO,INACTIVA,74944.96,12,0.066,
6-100-95536-8,5062602,2000-04-08,CRÉDITO,ACTIVA,67899.53,0,0.07,
6-107-97560-1,5554505,2014-08-26,CRÉDITO,INACTIVA,84461.34,12,0.099,
4-100-44015-3,3423424,2019-01-21,AHORRO,INACTIVA,30468.79,6,0.023,
5-102-74425-3,2933800,2006-04-29,CRÉDITO,CERRADA,16825.95,0,0.117,
3-103-79558-3,3963192,2020-03-21,APORTE,CERRADA,42535.35,6,0.059,
3-104-62600-9,4540258,2006-02-25,AHORRO,INACTIVA,54014.19,6,0.111,
8-100-60026-7,5651458,2001-11-25,APORTE,INACTIVA,68608.83,0,0.014,
5-105-27710-2,3479597,2017-02-10,APORTE,CERRADA,32554.41,6,0.071,
4-107-95088-5,2478041,2023-04-11,CRÉDITO,CERRADA,72856.63,0,0.08,
2-105-32012-7,4077440,2009-09-13,AHORRO,INACTIVA,89665.06,36,0.056,
5-107-81232-8,3101306,2013-04-27,AHORRO,INACTIVA,78672.0,12,0.018,
1-100-41348-3,5291037,2020-12-06,APORTE,INACTIVA,27772.92,24,0.026,
8-106-40024-2,2162083,2011-12-05,CRÉDITO,INACTIVA,81844.04,0,0.047,
9-107-15337-6,5423127,2017-03-18,APORTE,CERRADA,48682.1,36,0.117,
3-103-39112-1,3822367,2010-03-16,APORTE,ACTIVA,25606.04,24,0.1,
2-101-76912-9,3667173,2023-04-05,AHORRO,ACTIVA,99907.7,0,0.103,
9-107-80454-8,4169976,2002-06-21,CRÉDITO,CERRADA,40579.83,24,0.026,
5-103-52505-7,3847543,2015-01-10,CRÉDITO,INACTIVA,35614.66,6,0.106,
4-108-91553-4,2151923,2006-11-15,CRÉDITO,INACTIVA,19734.43,0,0.015,
4-100-96990-9,4528694,2001-10-05,AHORRO,INACTIVA,38141.93,0,0.055,
4-104-46652-8,2715932,2009-07-26,AHORRO,INACTIVA,46274.79,36,0.029,
5-102-80630-7,3817731,2006-10-02,CRÉDITO,CERRADA,9325.21,6,0.012,
6-102-42409-3,4414290,2000-09-29,AHORRO,INACTIVA,2732.77,24,0.105,
2-105-93082-4,2838282,2016-04-19,APORTE,ACTIVA,23276.24,6,0.053,
6-101-90863-8,4867560,2018-07-26,CRÉDITO,CERRADA,95621.19,0,0.034,
1-100-58489-1,5790954,2008-07-23,APORTE,CERRADA,43063.19,12,0.116,
7-105-95947-2,4819087,2007-07-10,CRÉDITO,CERRADA,9684.09,12,0.099,
3-103-49733-7,3721759,2006-10-28,AHORRO,CERRADA,52895.72,12,0.017,
4-107-87109-5,3092733,2002-09-03,CRÉDITO,INACTIVA,64179.11,12,0.112,
4-109-53328-5,3434736,2011-02-03,APORTE,CERRADA,17090.53,24,0.09,
8-109-98630-5,5055673,2014-07-27,CRÉDITO,CERRADA,22543.28,0,0.107,
8-105-76760-6,2753905,2020-06-20,APORTE,INACTIVA,39670.93,36,0.05,
3-107-75151-9,3740602,2020-12-18,CRÉDITO,ACTIVA,52778.33,12,0.096,
2-102-28910-7,3616114,2007-07-01,APORTE,ACTIVA,83497.61,24,0.031,
1-105-61560-8,4876700,2015-10-17,AHORRO,ACTIVA,90630.7,24,0.052,
4-103-53062-1,5903758,2014-12-07,APORTE,ACTIVA,37208.81,12,0.073,
4-103-32433-3,4512827,2010-01-19,APORTE,CERRADA,42202.74,36,0.075,
5-103-67070-3,2758647,2003-12-23,APORTE,CERRADA,58819.76,36,0.113,
9-106-59614-4,4683065,2001-09-05,AHORRO,INACTIVA,97503.17,6,0.095,
1-101-93004-4,4928093,2001-12-11,CRÉDITO,CERRADA,26999.4,24,0.086,
